0,07/05/19,Hazel
6,*2840004389,POTATO CHIPS,1,2.50,4.29,2/5.00,12
6,*2840064549,POTATO CHIPS,1,2.50,4.29,2/5.00,12
6,*3800019934,CEREAL,1,1.67,3.19,3/5.00,4
6,*4120010483,POPCORN,1,2.50,2.99,2/5.00,12
6,*4120010484,POPCORN,1,2.50,2.99,2/5.00,12
6,*7147900001,ENGLISH MUFFIN,1,2.50,2.99,2/5.00,2
4,*1410007161,PEPPERDIGE FAR,1,3.00,NULL,2/6.00,2
6,*5398100005,KIM CHEE,2,7.00,7.98,2/7.00,3
6,*7800015216,CANADA DRY,1,3.34,4.99,3/10.00,1
2,*4200087342,BATH TISSUE,1,11.14,13.14,11.14,8
7,30.34,8.87,295.66
0,08/02/19,MARY
3,7757802959,THERMWLL CLOTH,2,3.38,NULL,1.69,10
1,71928356500,GG GRILL PAN,1,5.99,NULL,5.99,13
1,30521516328,Q-TIPS,1,2.79,NULL,2.79,10
1,4011,BANANAS,1,.91,NULL,.91,11
1,4069,GRN CABBAGE,1,1.46,NULL,1.46,11
1,71373348819,EGGS,1,.69,NULL,.69,5
1,71928373907,MEIJER BUN,1,1.29,NULL,1.29,2
1,4640,ROMAINE,1,2.56,NULL,2.56,11
3,3600049959,FACIAL TISSUE,4,6.64,NULL,1.66,8
1,71373391397,CEREAL,1,1.79,NULL,1.79,4
1,2412601462,BUTTERNUT BREA,1,1.89,NULL,1.89,2
1,4125010210,MILK,1,2.09,NULL,2.09,5
1,60502100004,MMCBTR CHS SPR,1,2.09,NULL,2.09,5
3,70882013037,UHT HALF & HAL,2,4.78,NULL,2.39,5
1,70882062761,COLE SLAW,1,2.39,NULL,2.39,11
1,3010050656,CRACKER CRISPS,1,2.79,NULL,2.79,2
1,3010078458,CRACKERS,1,2.79,NULL,2.79,2
1,3283,HONEYCRISP LB,1,1.91,NULL,1.91,11
1,1228953152,RUSSET POTATOE,1,2.99,NULL,2.99,11
3,7147900015,ENGLISH MUFFIN,2,5.98,NULL,2.99,2
1,3800001611,CEREAL,1,3.19,NULL,3.19,4
1,74988011125,WAFFLES,1,3.19,NULL,3.19,7
1,2021668000001,CAB GRND BEEF,1,3.28,NULL,3.28,9
1,1115206630,RICE,1,3.29,NULL,3.29,6
1,1600012479,CEREAL,1,3.29,NULL,3.29,4
1,1600027526,CEREAL,1,3.29,NULL,3.29,4
3,7992711311,PRETZEL RINGS,2,6.58,NULL,3.29,12
1,88491201278,CEREAL,1,3.59,NULL,3.59,4
1,5170098820,FINISH,1,3.65,NULL,3.65,8
1,2840058929,CORN CHIPS,1,3.79,NULL,3.79,12
3,1674163322,SE VEG BURGER,2,7.98,NULL,3.99,9
1,2548400712,NASOYA,1,3.99,NULL,3.99,11
1,3114200088,CHEESE,1,3.99,NULL,3.99,5
1,4345410015,SMART GROUND,1,3.99,NULL,3.99,9
1,65884265217,NOODLES,1,4.29,NULL,4.29,6
1,3000001040,QUAKER OATS,1,4.39,NULL,4.39,4
1,4125002109,PEANUT OIL,1,4.49,NULL,4.49,6
3,79452221012,TAZO TEA,2,8.98,NULL,4.49,1
1,71373333792,SWISS CHEESE,1,4.79,NULL,4.79,5
1,4720035420,CHALLENGE BTR,1,4.99,NULL,4.99,5
1,7203002240,SNACK PIE,1,4.99,NULL,4.99,2
1,7800015216,CANADA DRY,1,4.99,NULL,4.99,1
1,1114110271,GOURMET COFFEE,1,5.99,NULL,5.99,1
1,4470000881,OM BOLOGNA,1,5.99,NULL,5.99,9
1,5000030302,COFFEE CREAMER,1,5.99,NULL,5.99,5
1,7835471509,CHEDDAR CHEESE,1,5.99,NULL,5.99,5
1,24081000000,MEIJER WINGS,1,6.13,NULL,6.13,9
1,3700076213,PAPER TOWELS,1,6.29,NULL,6.29,8
1,21946200000,BERRY MIX,1,6.43,NULL,6.43,11
1,27083100000,CHICKEN BREAST,1,6.70,NULL,6.70,9
1,4200087350,BATH TISSUE,1,6.82,NULL,6.82,8
1,2396478905,S&SBRISKPTY,1,7.99,NULL,7.99,11
1,*71928340944,POTATO CHIPS,1,3.29,NULL,3.29,12
2,*7790011553,SAUSAGE ROLL,1,3.99,4.69,3.99,9
2,*72037958531,MIN POPS,1,3.99,4.99,3.99,11
6,*71928340945,POTATO CHIPS,1,2.00,3.29,2/4.00,12
6,*2500004748,MINUTE MAID,1,1.25,1.65,4/5.00,1
6,*4120010483,POPCORN,1,2.50,2.99,2/5.00,12
6,*4120010484,POPCORN,1,2.50,2.99,2/5.00,12
6,*7056929040,COOKIES,1,2.50,2.99,2/5.00,12
6,*7778200816,JVILLE BRATS,1,3.00,4.99,2/6.00,9
2,*85068710005,OLIVE OIL,1,8.49,8.79,8.49,6
7,18.88,6.92,249.22
0,08/09/19,Melinda
1,4125091649,IBUPROFEN,1,2.49,NULL,2.49,10
1,3160402844,D3 GUMMIES,1,10.29,NULL,10.29,10
1,4011,BANANAS,1,.63,NULL,.63,11
1,71373348819,EGGS,1,.49,NULL,.49,5
1,4608,LARGE GARLIC,1,.59,NULL,.59,11
1,3338366000,CARROTS,1,.99,NULL,.99,11
1,4627,KALE BUNCH,1,1.09,NULL,1.09,11
1,3940001782,NORTHERN BEANS,1,1.09,NULL,1.09,6
1,3024359145,GNG SUNFLWR,1,1.19,NULL,1.19,6
1,71928373907,MEIJER BUN,1,1.29,NULL,1.29,2
1,4091,SWEET POTATO,1,2.43,NULL,2.43,11
1,4742,BULK RADISH,1,.37,NULL,.37,11
1,4125010210,MILK,1,1.79,NULL,1.79,5
1,1200000131,MOUNTAIN DEW,1,1.99,NULL,1.99,1
1,83133100526,CELERY,1,1.99,NULL,1.99,11
1,5150000678,SMUCKERS JAM,1,2.09,NULL,2.09,3
1,3120000159,CRANBERRIES,1,2.29,NULL,2.29,11
1,4920005780,BROWN SUGAR,1,2.29,NULL,2.29,6
1,71373391406,CEREAL,1,2.29,NULL,2.29,4
1,7266860001,BROCCOLI,1,3.21,NULL,3.21,11
1,5113150218,SCOURING PAD,1,2.61,NULL,2.61,8
1,8186422124,PEANUTS,1,2.99,NULL,2.99,12
1,71373331578,ORGANIC STOCK,1,2.99,NULL,2.99,3
1,3700034885,NAPKINS,1,3.13,NULL,3.13,8
1,7341095597,BROWNBERRY,1,3.19,NULL,3.19,2
1,3800019871,CEREAL,1,3.29,NULL,3.29,4
1,7992711311,PRETZEL RINGS,1,3.29,NULL,3.29,12
1,4650022297,STAIN REMOVER,1,3.49,NULL,3.49,8
1,4159800050,STEEL WIPES,1,3.81,NULL,3.81,8
1,5150024163,JIF,1,3.89,NULL,3.89,3
